Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA.CA.6717	0.044755439478629	0.029330149591898	0.020181580697899	0.05935176129147	0	0.15781152193175	0	0.06667974903712	0.044989238286722	0	0.044603269330052	0	0	0.25073572740306	0.053279438762598	0.19774463100999	0	0	0.025324234908617	0.005213258270192	0	0	0.006	0.2643354457242741	0.9652547333385567
TCGA.A6.6651	0.048563292941348	0.0015820884232467	0.018402377275711	0.043054500221379	0	0.14952602885053	0.0009	0.032118587711594	0.037986246626868	0	0.038397492717387	0	0.0054171019567304	0.37346277894241	0.032619872711087	0.18763873823171	0	0.0051518015028439	0.025148542119746	0	0	0	0.001	0.3551904531000035	0.9418015855472853
TCGA.G4.6297	0.020072248866281	0.0031597023740548	0.0064193817452729	0.020799161339659	0	0.16816466897207	0.0071581732573296	0.061888345602431	0.050859566562562	0	0.054437090587579	0	0	0.15095991217734	0.13181079192752	0.2670276222657	0	0	0.041646061884371	0	0	0.01559727243783	0.114	0.10455365691016458	0.9941536314133878
TCGA.DM.A1DA	0.049946526377616	0	0.080877408162387	0.15842320359462	0	0.10790646759636	0	0.083996131989878	0.021055924499419	0	0.038505408344787	0.023316067832867	0.011839536080946	0.13904968885184	0.083784283757768	0.18564839384794	0.0018315265461138	0	0.013819432517463	0	0	0	0.667	0.007619922353144577	1.0018046810852457
TCGA.CA.6718	0.011480006382073	0	0.019447538293694	0	0	0.1939209723257	0	0.10907292309157	0.0082012219220961	0.020728163106578	0.070801862087961	0.022300931978178	0	0.096783162261547	0.30728505959323	0.076214557303157	0.0010796638762553	0	0.062683937777956	0	0	0	0	0.48110370087932214	0.901153945151356
TCGA.A6.6780	0.045873957870428	0	0	0.042524850621066	0	0.17554708037783	0.037379705717144	0.094896744541235	0.017918755803606	0	0.056784394360029	0.02226613012058	0.0018347943631783	0.16163362482536	0.11812982146761	0.21888882376961	0.0019154880538727	0	0	0.001	0	0.0034526100387809	0.006	0.2777171942696896	0.960643314782859
TCGA.QG.A5Z1	0.0007	0.0051479195739175	0.017593034165639	0	0	0.21311499064285	0	0.014413397809552	0.038859203104653	0	0.056086852497195	0	0	0.46581918538306	0.020071714805965	0.073268982181931	0.018930142627478	0	0	0.07594941566892	0	0	0.172	0.08616413864649122	0.995323960909252
TCGA.AZ.4614	0	0.0093004347366005	0	0.3497708436586	0	0	0	0.32502395643929	0.024033530536237	0	0.011719562512706	0.022314810112437	0.02517541031521	0.14148288711751	0.047581946051501	0	0	0.039663055354732	0	0	0.0039335631651777	0	0.178	0.08370753227000577	0.9955979475798493
TCGA.CK.4952	0.035549187570842	0	0.011981898984584	0	0	0.22623166735181	0	0.0088994804276156	0.0060355974676674	0	0.076259185528959	0	0	0.1910171477604	0.026519103456396	0.16498871200241	0	0.01528235855735	0	0.080701625468871	0	0.1565340354231	0.35	0.046121494869286565	1.001212985504679
TCGA.G4.6315	0.16108659951879	0	0.058374153600786	0.030604881100659	0	0.25677675152563	0	0.10465296045693	0.071298995902448	0	0.096203691317862	0	0.01319763421677	0.11067422010738	0.015580695909562	0.050090905108106	0	0.0006	0.0047998368259001	0.026042980780428	0	0	0.789	-0.0097	1.0024869422256903
TCGA.CK.4950	0.0069976497976456	0.012175174783991	0.10359877954149	0.066050886578084	0	0.24359583110705	0	0.10688897438514	0.013634590715526	0	0.039050193600429	0	0	0.15702114518317	0.031341034020757	0.13764140740887	0	0	0.0002	0.046960583718376	0	0.034859171221079	0.218	0.07404836203217321	1.002833097845802
TCGA.AZ.4615	0.0006	0	0	0.23666562699141	0	0.18846080045344	0.017708908275126	0.066531287959539	0.030010513499744	0	0.050594265816478	0.018349058569544	0.002279343752783	0.051134767835897	0.11785575919734	0.16893687644528	0	0.011871613002755	0.03903785831772	0	0	0	0.028	0.17883979465745964	0.983946763775098
TCGA.G4.6306	0	0.03917342419147	0	0.11558148646771	0	0.14168424870572	0	0.12446261791218	0.079152160695748	0	0	0.077056397946717	0.0187624105014	0.19000125441394	0.13133975711212	0	0.039832055820923	0	0	0.042954186232079	0	0	0.623	0.012681409333309478	1.0019477304022897
TCGA.AM.5821	0.0043591030115678	0	0.049811576212616	0.053025184891436	0	0.018637829355501	0.078638902585079	0.073832229159639	0.012194022970676	0	0.088703637693144	0	0.021947784171947	0.080647611517203	0.2246871110233	0.13517111079262	0.0097908506547063	0.0067568750664133	0	0.14029352360416	0	0.0015026472899918	0.005	0.2915592043868986	0.9560806128515698
