Composite.Element.Name	Composite.Element.Database.Entry[hugo]
ADXCRAG_AB046838_x_at	KIAA1618
ADXCRAG_AB046854_at	MAGI3
ADXCRAG_AB047006_s_at	PCGF6
ADXCRAG_AB048246_s_at	TXNDC1
ADXCRAG_AB048796_x_at	TMPRSS13
ADXCRAG_AB049149_s_at	PPFIBP1
ADXCRAD_BM129595_s_at	DERL3
ADXCRAG_AB050477_s_at	FAM129A
ADXCRAG_AB050719_at	TINAGL1
ADXCRAG_AB051428_s_at	SCYL1
ADXCRAD_CD357077_s_at	
ADXCRAG_AB051504_s_at	SETD7
ADXCRAG_AB051509_s_at	GRLF1
ADXCRAG_AB051515_s_at	TANC1
ADXCRAG_AB051533_at	TMCO7
ADXCRAG_AB051536_s_at	CGNL1
ADXCRAG_AB051536_x_at	CGNL1
ADXCRAG_AB051556_s_at	PRIC285
ADXCRAG_AB051833_s_at	ACRBP
ADXCRAD_BM926563_s_at	CCDC80
ADXCRAG_AB052917_s_at	CLCC1
ADXCRAG_AB052956_s_at	STAB1
ADXCRAG_AB053305_s_at	ALS2
ADXCRAG_AB053318_at	ALS2CR16
ADXCRAD_BX094492_s_at	ALS2CR16
ADXCRAG_AB054005_s_at	VPS13A
ADXCRAG_AB054064_at	ANGPTL6
ADXCRAD_BM824417_s_at	C12orf30
ADXCRAD_AL583494_s_at	MRPS2
ADXCRAG_AB055390_s_at	ABCA7
ADXCRAG_AB055890_s_at	AKAP13
ADXCRAG_AB055982_s_at	ABCA1
ADXCRAD_CN393994_s_at	ZFP91
ADXCRAD_AW973107_s_at	TESK2
ADXCRAG_AB058701_s_at	L3MBTL3
ADXCRAG_AB058707_at	KIAA1804
ADXCRAG_AB058721_s_at	EP400
ADXCRAG_AB058750_s_at	LIME1
ADXCRAG_AB060339_s_at	RIN2
ADXCRAG_AB060966_at	WNT5B
ADXCRAG_AB060966_s_at	WNT5B
ADXCRAG_AB061669_s_at	AGER
ADXCRAG_AB061713_s_at	ACSL4
ADXCRAG_AB061846_s_at	RPS28
ADXCRAG_AB062450_at	NEK7
ADXCRAG_AB063105_s_at	TRNT1
ADXCRAG_AB063116_s_at	NAV2
ADXCRAG_AB065487_at	OR7E126P
ADXCRAG_AB065487_s_at	OR7E126P
ADXCRAG_AB065787_at	OR51E1
ADXCRAG_AB065787_x_at	OR51E1
ADXCRAG_AB065931_at	EMR2
ADXCRAG_AB066567_s_at	ATF3
ADXCRAG_AB067393_at	
ADXCRAG_AB067393_x_at	
ADXCRAG_AB067511_s_at	WDR90
ADXCRAG_AB067525_s_at	ZBTB9
ADXCRAG_AB069975_at	LSM14A
ADXCRAG_AB069975_s_at	LSM14A
ADXCRAG_AB069975_x_at	LSM14A
ADXCRAG_AB070218_at	WNT11
ADXCRAG_AB070706_s_at	RPS6KC1
ADXCRAG_AB071996_at	NEK11
ADXCRAD_CK903564_s_at	NEK11
ADXCRAG_AB073637_at	WNT8B
ADXCRAG_AB073669_s_at	TRPV4
ADXCRAG_AB073711_at	JMJD6
ADXCRAG_AB075820_at	FBXO41
ADXCRAG_AB075822_x_at	KCNJ14
ADXCRAG_AB075827_at	ZNF547
ADXCRAG_AB075835_x_at	DIS3L
ADXCRAG_AB075836_at	ZNF418
ADXCRAG_AB075838_s_at	KIAA1958
ADXCRAG_AB075841_s_at	FNIP1
ADXCRAG_AB075844_at	PLCD3
ADXCRAG_AB075846_s_at	YTHDC1
ADXCRAG_AB075849_at	ZNF431
ADXCRAD_AA156853_s_at	RSPRY1
ADXCRAG_AB075857_s_at	ANKS3
ADXCRAG_AB075858_s_at	RAVER1
ADXCRAG_AB075862_s_at	ZNF721
ADXCRAG_AB075864_s_at	KIAA1984
ADXCRAG_AB075865_s_at	SH3TC2
ADXCRAG_AB077992_at	NOC3L
ADXCRAG_AB078146_s_at	GALNT12
ADXCRAG_AB080222_s_at	SYTL5
ADXCRAG_AB080747_s_at	FOXP4
ADXCRAG_AB081516_s_at	ChGn
ADXCRAD_BX367868_s_at	RIN3
ADXCRAG_AB081948_s_at	ZHX3
ADXCRAG_AB082530_at	RICTOR
ADXCRAD_CN352214_s_at	RICTOR
ADXCRAG_AB082533_at	SGK269
ADXCRAG_AB082533_x_at	SGK269
ADXCRAG_AB082951_s_at	KIAA1303
ADXCRAG_AB084279_s_at	ASXL2
ADXCRAG_AB088095_at	HCP5P15
ADXCRAG_AB088096_at	HCP5P15
ADXCRAG_AB088097_at	HCP5P15
ADXCRAG_AB088113_at	
ADXCRAG_AB088114_at	
ADXCRAG_AB088114_x_at	ARL17P1
ADXCRAG_AB090811_s_at	GALNACT-2
ADXCRAG_AB094091_s_at	BCL9L
ADXCRAG_AB095924_s_at	ZSCAN4
ADXCRAD_BX093644_s_at	SAMD9
ADXCRAG_AB095934_at	FMNL3
ADXCRAG_AB095941_at	C14orf21
ADXCRAG_AB095948_s_at	PLEKHH2
ADXCRAG_AB096256_s_at	UNC5B
ADXCRAG_AB097020_s_at	GOLT1B
ADXCRAG_AB097034_s_at	TIPRL
ADXCRAG_AB097862_at	ZNF639
ADXCRAG_AB097862_x_at	ZNF639
ADXCRAG_AB099290_s_at	SSH2
ADXCRAG_AB100265_at	GZF1
ADXCRAG_AB102641_s_at	LOC728849
ADXCRAG_AB102644_at	AFF2
ADXCRAG_AB102668_s_at	MED12
ADXCRAG_AB102723_s_at	HELLS
ADXCRAG_AB104726_at	AATK
ADXCRAD_AI054095_s_at	IQGAP3
ADXCRAG_AB107013_s_at	MARS2
ADXCRAG_AB107353_s_at	MEX3D
ADXCRAG_AB112074_s_at	RBBP6
ADXCRAG_AB115695_s_at	2'-PDE
ADXCRAG_AB124586_x_at	ACBD7
ADXCRAG_AB161944_at	INTS8
ADXCRAG_AB161944_x_at	INTS8
ADXCRAG_AB162931_at	TTYH3
ADXCRAG_AB162931_x_at	TTYH3
ADXCRAG_AB180256_at	ABO
ADXCRAG_AC002398_at	PRODH2
ADXCRAG_AC003972_at	
ADXCRAG_AC003972_x_at	
ADXCRAG_AC005277_x_at	ELAC2
ADXCRAG_AC007401_at	CRIM1
ADXCRAG_AC012301_at	FAM44C
ADXCRAG_AC022400_at	CAMK2G
ADXCRAG_AC080162_at	ZNRF4
ADXCRAG_AC0848097_at	TMEM98
ADXCRAG_AC0848097_x_at	TMEM98
ADXCRAG_AC087164_at	C17orf39
ADXCRAG_AE000661_s_at	TRAJ61
ADXCRAG_AE000521_at	DAD1
ADXCRAG_AE000521_x_at	DAD1
ADXCRAG_U85196_s_at	TRAV41
